YEAR;DATE_PATTERN;START_DATE;END_DATE;QUARTER;PERIOD
2004;CL;2004/01/01;2004/12/31;1;1
2005;CL;2005/01/01;2005/09/30;1;1
2005;CL;2005/10/01;2005/10/31;2;2
2005;CL;2005/11/01;2005/11/30;3;3
2005;CL;2005/12/01;2005/12/31;4;4
2006;CL;2006/01/01;2006/01/31;1;1
2006;CL;2006/02/01;2006/02/28;1;2
2006;CL;2006/03/01;2006/03/31;1;3
2006;CL;2006/04/01;2006/04/30;2;4
2006;CL;2006/05/01;2006/05/31;2;5
2006;CL;2006/06/01;2006/06/30;2;6
2006;CL;2006/07/01;2006/07/31;3;7
2006;CL;2006/08/01;2006/08/31;3;8
2006;CL;2006/09/01;2006/09/30;3;9
2006;CL;2006/10/01;2006/10/31;4;10
2006;CL;2006/11/01;2006/11/30;4;11
2006;CL;2006/12/01;2006/12/31;4;12
2007;CL;2007/01/01;2007/01/31;1;1
2007;CL;2007/02/01;2007/02/28;1;2
2007;CL;2007/03/01;2007/03/31;1;3
2007;CL;2007/04/01;2007/04/30;2;4
2007;CL;2007/05/01;2007/05/31;2;5
2007;CL;2007/06/01;2007/06/30;2;6
2007;CL;2007/07/01;2007/07/31;3;7
2007;CL;2007/08/01;2007/08/31;3;8
2007;CL;2007/09/01;2007/09/30;3;9
2007;CL;2007/10/01;2007/10/31;4;10
2007;CL;2007/11/01;2007/11/30;4;11
2007;CL;2007/12/01;2007/12/31;4;12
2008;CL;2008/01/01;2008/01/31;1;1
2008;CL;2008/02/01;2008/02/29;1;2
2008;CL;2008/03/01;2008/03/31;1;3
2008;CL;2008/04/01;2008/04/30;2;4
2008;CL;2008/05/01;2008/05/31;2;5
2008;CL;2008/06/01;2008/06/30;2;6
2008;CL;2008/07/01;2008/07/31;3;7
2008;CL;2008/08/01;2008/08/31;3;8
2008;CL;2008/09/01;2008/09/30;3;9
2008;CL;2008/10/01;2008/10/31;4;10
2008;CL;2008/11/01;2008/11/30;4;11
2008;CL;2008/12/01;2008/12/31;4;12
2009;CL;2009/01/01;2009/01/31;1;1
2009;CL;2009/02/01;2009/02/28;1;2
2009;CL;2009/03/01;2009/03/31;1;3
2009;CL;2009/04/01;2009/04/30;2;4
2009;CL;2009/05/01;2009/05/31;2;5
2009;CL;2009/06/01;2009/06/30;2;6
2009;CL;2009/07/01;2009/07/31;3;7
2009;CL;2009/08/01;2009/08/31;3;8
2009;CL;2009/09/01;2009/09/30;3;9
2009;CL;2009/10/01;2009/10/31;4;10
2009;CL;2009/11/01;2009/11/30;4;11
2009;CL;2009/12/01;2009/12/31;4;12
2010;CL;2010/01/01;2010/01/31;1;1
2010;CL;2010/02/01;2010/02/28;1;2
2010;CL;2010/03/01;2010/03/31;1;3
2010;CL;2010/04/01;2010/04/30;2;4
2010;CL;2010/05/01;2010/05/31;2;5
2010;CL;2010/06/01;2010/06/30;2;6
2010;CL;2010/07/01;2010/07/31;3;7
2010;CL;2010/08/01;2010/08/31;3;8
2010;CL;2010/09/01;2010/09/30;3;9
2010;CL;2010/10/01;2010/10/31;4;10
2010;CL;2010/11/01;2010/11/30;4;11
2010;CL;2010/12/01;2010/12/31;4;12
2011;CL;2011/01/01;2011/01/31;1;1
2011;CL;2011/02/01;2011/02/28;1;2
2011;CL;2011/03/01;2011/03/31;1;3
2011;CL;2011/04/01;2011/04/30;2;4
2011;CL;2011/05/01;2011/05/31;2;5
2011;CL;2011/06/01;2011/06/30;2;6
2011;CL;2011/07/01;2011/07/31;3;7
2011;CL;2011/08/01;2011/08/31;3;8
2011;CL;2011/09/01;2011/09/30;3;9
2011;CL;2011/10/01;2011/10/31;4;10
2011;CL;2011/11/01;2011/11/30;4;11
2011;CL;2011/12/01;2011/12/31;4;12
2012;CL;2012/01/01;2012/01/31;1;1
2012;CL;2012/02/01;2012/02/29;1;2
2012;CL;2012/03/01;2012/03/31;1;3
2012;CL;2012/04/01;2012/04/30;2;4
2012;CL;2012/05/01;2012/05/31;2;5
2012;CL;2012/06/01;2012/06/30;2;6
2012;CL;2012/07/01;2012/07/31;3;7
2012;CL;2012/08/01;2012/08/31;3;8
2012;CL;2012/09/01;2012/09/30;3;9
2012;CL;2012/10/01;2012/10/31;4;10
2012;CL;2012/11/01;2012/11/30;4;11
2012;CL;2012/12/01;2012/12/31;4;12
2013;CL;2013/01/01;2013/01/31;1;1
2013;CL;2013/02/01;2013/02/28;1;2
2013;CL;2013/03/01;2013/03/31;1;3
2013;CL;2013/04/01;2013/04/30;1;4
2013;CL;2013/05/01;2013/05/31;1;5
2013;CL;2013/06/01;2013/06/30;1;6
2013;CL;2013/07/01;2013/07/31;1;7
2013;CL;2013/08/01;2013/08/31;1;8
2013;CL;2013/09/01;2013/09/30;1;9
2013;CL;2013/10/01;2013/10/31;1;10
2013;CL;2013/11/01;2013/11/30;1;11
2013;CL;2013/12/01;2013/12/31;1;12
