COMPANY_NK;LEDGER_NK;PROFIT_CENTER_NK;JOURNAL_DOC_TYPE_NK;JOURNAL_DOC_NK;JOURNAL_LINE_ITEM_NK;ACCOUNT_NK;TRANS_DATE_NK;CURRENCY_NK;DEBIT;CREDIT;DEBIT_LOCAL;CREDIT_LOCAL
01;GL;01;JE;OF-01-01-01-6000-01;7194;01-01-6000-01;2005/11/15 00:00:00.000;USD;500;0;500;0
01;GL;01;JE;OF-01-01-01-1000-01;7193;01-01-1000-01;2005/11/15 00:00:00.000;USD;0;500;0;500
01;GL;01;JE;REV-01-01-01-1000-01;7196;01-01-1000-01;2005/11/15 00:00:00.000;USD;500;0;500;0
01;GL;01;JE;REV-01-01-01-4000-01;7195;01-01-4000-01;2005/11/15 00:00:00.000;USD;0;500;0;500
01;GL;01;ST;PERIOD_END-01-01-3040-01;7724;01-01-3040-01;2005/11/01 00:00:00.000;USD;10000;0;10000;0
01;GL;01;ST;PERIOD_END-01-01-3040-01;7320;01-01-3040-01;2005/11/01 00:00:00.000;USD;0;10000;0;10000
01;GL;01;ST;PERIOD_END-01-01-4950-01;7725;01-01-4950-01;2005/11/01 00:00:00.000;USD;0;10000;0;10000
01;GL;01;ST;PERIOD_END-01-01-4950-01;7319;01-01-4950-01;2005/11/01 00:00:00.000;USD;10000;0;10000;0
01;GL;01;ST;Ship Order-01-01-5000-01;7866;01-01-5000-01;2005/11/15 00:00:00.000;USD;1000;0;1000;0
01;GL;01;ST;Ship Order-01-01-1000-01;7864;01-01-1000-01;2005/11/15 00:00:00.000;USD;2000;0;2000;0
01;GL;01;ST;Ship Order-01-01-1210-01;7863;01-01-1210-01;2005/11/15 00:00:00.000;USD;0;1000;0;1000
01;GL;01;ST;Ship Order-01-01-4000-01;7865;01-01-4000-01;2005/11/15 00:00:00.000;USD;0;2000;0;2000
01;GL;01;ST;Ship Order-01-01-1000-01;7738;01-01-1000-01;2005/02/02 00:00:00.000;USD;0;2000;0;2000
01;GL;01;ST;Ship Order-01-01-5000-01;7763;01-01-5000-01;2005/01/02 00:00:00.000;USD;1000;0;1000;0
01;GL;01;ST;Ship Order-01-01-1000-01;7761;01-01-1000-01;2005/01/02 00:00:00.000;USD;2000;0;2000;0
01;GL;01;ST;Ship Order-01-01-1210-01;7760;01-01-1210-01;2005/01/02 00:00:00.000;USD;0;1000;0;1000
01;GL;01;ST;Ship Order-01-01-4000-01;7762;01-01-4000-01;2005/01/02 00:00:00.000;USD;0;2000;0;2000
01;GL;01;ST;Ship Order-01-01-5000-01;7767;01-01-5000-01;2005/01/02 00:00:00.000;USD;1000;0;1000;0
01;GL;01;ST;Ship Order-01-01-1000-01;7765;01-01-1000-01;2005/01/02 00:00:00.000;USD;2000;0;2000;0
01;GL;01;ST;Ship Order-01-01-1210-01;7764;01-01-1210-01;2005/01/02 00:00:00.000;USD;0;1000;0;1000
01;GL;01;ST;Ship Order-01-01-4000-01;7766;01-01-4000-01;2005/01/02 00:00:00.000;USD;0;2000;0;2000
01;GL;01;ST;Ship Order-01-01-1210-01;7774;01-01-1210-01;2005/01/03 00:00:00.000;USD;0;1000;0;1000
01;GL;01;ST;Ship Order-01-01-4000-01;7776;01-01-4000-01;2005/01/03 00:00:00.000;USD;0;2000;0;2000
01;GL;01;ST;Ship Order-01-01-1000-01;7751;01-01-1000-01;2004/01/02 00:00:00.000;USD;5000;0;5000;0
01;GL;01;ST;Ship Order-01-01-1210-01;7748;01-01-1210-01;2004/01/02 00:00:00.000;USD;0;1000;0;1000
01;GL;01;ST;Ship Order-01-01-4000-01;7750;01-01-4000-01;2004/01/02 00:00:00.000;USD;0;5000;0;5000
01;GL;01;JE;INV-01-01-01-1000-01;7768;01-01-1000-01;2004/01/02 00:00:00.000;USD;0;10000;0;10000
01;GL;01;JE;INV-01-01-01-1210-01;7769;01-01-1210-01;2004/01/02 00:00:00.000;USD;10000;0;10000;0
01;GL;01;ST;Ship Order-01-01-5000-01;7773;01-01-5000-01;2004/02/02 00:00:00.000;USD;1000;0;1000;0
01;GL;01;ST;Ship Order-01-01-1000-01;7771;01-01-1000-01;2004/02/02 00:00:00.000;USD;2000;0;2000;0
01;GL;01;ST;Ship Order-01-01-1210-01;7770;01-01-1210-01;2004/02/02 00:00:00.000;USD;0;1000;0;1000
01;GL;01;ST;Ship Order-01-01-4000-01;7772;01-01-4000-01;2004/02/02 00:00:00.000;USD;0;2000;0;2000
01;GL;01;JE;MA-EQ-1-01-01-3010-01;7008;01-01-3010-01;2005/12/23 00:00:00.000;USD;0;1000000;0;1000000
01;GL;01;JE;MA-EQ-1-01-01-1000-01;7009;01-01-1000-01;2005/12/23 00:00:00.000;USD;1000000;0;1000000;0
01;GL;01;PO;20001-01-01-2460-01;7010;01-01-2460-01;2005/12/27 00:00:00.000;USD;0;100;0;100
01;GL;01;PO;20001-01-01-1210-01;7011;01-01-1210-01;2005/12/27 00:00:00.000;USD;100;0;100;0
01;GL;01;PO;20001-01-01-2460-01;7012;01-01-2460-01;2005/12/27 00:00:00.000;USD;0;25;0;25
01;GL;01;PO;20001-01-01-1210-01;7013;01-01-1210-01;2005/12/27 00:00:00.000;USD;25;0;25;0
01;GL;01;PO;20001-01-01-2460-01;7014;01-01-2460-01;2005/12/27 00:00:00.000;USD;0;40;0;40
01;GL;01;PO;20001-01-01-1210-01;7015;01-01-1210-01;2005/12/27 00:00:00.000;USD;40;0;40;0
01;GL;01;PO;20001-01-01-2460-01;7016;01-01-2460-01;2005/12/27 00:00:00.000;USD;0;0.88;0;0.88
01;GL;01;PO;20001-01-01-1210-01;7017;01-01-1210-01;2005/12/27 00:00:00.000;USD;0.88;0;0.88;0
01;GL;01;PO;20001-01-01-2460-01;7018;01-01-2460-01;2005/12/27 00:00:00.000;USD;0;100;0;100
01;GL;01;PO;20001-01-01-1210-01;7019;01-01-1210-01;2005/12/27 00:00:00.000;USD;100;0;100;0
01;GL;01;PO;20001-01-01-6550-01;7021;01-01-6550-01;2005/12/27 00:00:00.000;USD;9.99;0;9.99;0
01;GL;01;PO;20001-01-01-2460-01;7020;01-01-2460-01;2005/12/27 00:00:00.000;USD;0;9.99;0;9.99
01;GL;01;VO;30000-01-01-1460-01;7023;01-01-1460-01;2005/12/27 00:00:00.000;USD;0;29.99;0;29.99
01;GL;01;VO;30000-01-01-2000-01;7024;01-01-2000-01;2005/12/27 00:00:00.000;USD;0;252;0;252
01;GL;01;VO;30000-01-01-2460-01;7022;01-01-2460-01;2005/12/27 00:00:00.000;USD;281.99;0;281.99;0
01;GL;01;PO;20002-01-01-2460-01;7025;01-01-2460-01;2005/12/27 00:00:00.000;USD;0;0.7;0;0.7
01;GL;01;PO;20002-01-01-1210-01;7026;01-01-1210-01;2005/12/27 00:00:00.000;USD;0.7;0;0.7;0
01;GL;01;VO;30001-01-01-1460-01;7028;01-01-1460-01;2005/12/27 00:00:00.000;USD;0;4.6;0;4.6
01;GL;01;VO;30001-01-01-2000-01;7029;01-01-2000-01;2005/12/27 00:00:00.000;USD;0;1;0;1
01;GL;01;VO;30001-01-01-2460-01;7027;01-01-2460-01;2005/12/27 00:00:00.000;USD;5.6;0;5.6;0
01;GL;01;CM;30000-01-01-4900-01;7030;01-01-4900-01;2005/12/27 00:00:00.000;USD;0;5.04;0;5.04
01;GL;01;CM;30000-01-01-2000-01;7031;01-01-2000-01;2005/12/27 00:00:00.000;USD;5.04;0;5.04;0
01;GL;01;CM;30001-01-01-4900-01;7032;01-01-4900-01;2005/12/27 00:00:00.000;USD;0;0.02;0;0.02
01;GL;01;CM;30001-01-01-2000-01;7033;01-01-2000-01;2005/12/27 00:00:00.000;USD;0.02;0;0.02;0
01;GL;01;CK;3001-01-01-1000-01;7035;01-01-1000-01;2005/12/27 00:00:00.000;USD;0;247.94;0;247.94
01;GL;01;CK;3001-01-01-2000-01;7034;01-01-2000-01;2005/12/27 00:00:00.000;USD;247.94;0;247.94;0
01;GL;01;WO;10000-1-01-01-1250-01;7037;01-01-1250-01;2005/12/27 00:00:00.000;USD;25;0;25;0
01;GL;01;WO;10000-1-01-01-1210-01;7036;01-01-1210-01;2005/12/27 00:00:00.000;USD;0;25;0;25
01;GL;01;WO;10000-1-01-01-1250-01;7039;01-01-1250-01;2005/12/27 00:00:00.000;USD;55;0;55;0
01;GL;01;WO;10000-1-01-01-1210-01;7038;01-01-1210-01;2005/12/27 00:00:00.000;USD;0;55;0;55
01;GL;01;WO;10000-1-01-01-1250-01;7040;01-01-1250-01;2005/12/27 00:00:00.000;USD;0;92.1;0;92.1
01;GL;01;WO;10000-1-01-01-1210-01;7041;01-01-1210-01;2005/12/27 00:00:00.000;USD;92.1;0;92.1;0
01;GL;01;WO;10000-1-01-01-1250-01;7043;01-01-1250-01;2005/12/27 00:00:00.000;USD;0.92;0;0.92;0
01;GL;01;WO;10000-1-01-01-2320-01;7042;01-01-2320-01;2005/12/27 00:00:00.000;USD;0;0.92;0;0.92
01;GL;01;WO;10000-1-01-01-1250-01;7045;01-01-1250-01;2005/12/27 00:00:00.000;USD;9.17;0;9.17;0
01;GL;01;WO;10000-1-01-01-2320-01;7044;01-01-2320-01;2005/12/27 00:00:00.000;USD;0;9.17;0;9.17
01;GL;01;WO;10000-1-01-01-1250-01;7046;01-01-1250-01;2005/12/27 00:00:00.000;USD;2.02;0;2.02;0
01;GL;01;WO;10000-1-01-01-1450-01;7047;01-01-1450-01;2005/12/27 00:00:00.000;USD;0;2.02;0;2.02
01;GL;01;WO;50001-1-01-01-1250-01;7048;01-01-1250-01;2005/12/27 00:00:00.000;USD;0;266.68;0;266.68
01;GL;01;WO;50001-1-01-01-1210-01;7049;01-01-1210-01;2005/12/27 00:00:00.000;USD;266.68;0;266.68;0
01;GL;01;WO;50001-1-01-01-1250-01;7051;01-01-1250-01;2005/12/27 00:00:00.000;USD;92.1;0;92.1;0
01;GL;01;WO;50001-1-01-01-1210-01;7050;01-01-1210-01;2005/12/27 00:00:00.000;USD;0;92.1;0;92.1
01;GL;01;WO;50001-1-01-01-1250-01;7053;01-01-1250-01;2005/12/27 00:00:00.000;USD;40;0;40;0
01;GL;01;WO;50001-1-01-01-1210-01;7052;01-01-1210-01;2005/12/27 00:00:00.000;USD;0;40;0;40
01;GL;01;WO;50001-1-01-01-1250-01;7055;01-01-1250-01;2005/12/27 00:00:00.000;USD;0.7;0;0.7;0
01;GL;01;WO;50001-1-01-01-1210-01;7054;01-01-1210-01;2005/12/27 00:00:00.000;USD;0;0.7;0;0.7
01;GL;01;WO;50001-1-01-01-1250-01;7057;01-01-1250-01;2005/12/27 00:00:00.000;USD;100;0;100;0
01;GL;01;WO;50001-1-01-01-1210-01;7056;01-01-1210-01;2005/12/27 00:00:00.000;USD;0;100;0;100
01;GL;01;WO;50001-1-01-01-1250-01;7059;01-01-1250-01;2005/12/27 00:00:00.000;USD;1.1;0;1.1;0
01;GL;01;WO;50001-1-01-01-2320-01;7058;01-01-2320-01;2005/12/27 00:00:00.000;USD;0;1.1;0;1.1
01;GL;01;WO;50001-1-01-01-1250-01;7061;01-01-1250-01;2005/12/27 00:00:00.000;USD;11;0;11;0
01;GL;01;WO;50001-1-01-01-2320-01;7060;01-01-2320-01;2005/12/27 00:00:00.000;USD;0;11;0;11
01;GL;01;WO;50001-1-01-01-1250-01;7063;01-01-1250-01;2005/12/27 00:00:00.000;USD;1.1;0;1.1;0
01;GL;01;WO;50001-1-01-01-2320-01;7062;01-01-2320-01;2005/12/27 00:00:00.000;USD;0;1.1;0;1.1
01;GL;01;WO;50001-1-01-01-1250-01;7065;01-01-1250-01;2005/12/27 00:00:00.000;USD;11;0;11;0
01;GL;01;WO;50001-1-01-01-2320-01;7064;01-01-2320-01;2005/12/27 00:00:00.000;USD;0;11;0;11
01;GL;01;WO;50001-1-01-01-1250-01;7067;01-01-1250-01;2005/12/27 00:00:00.000;USD;0.88;0;0.88;0
01;GL;01;WO;50001-1-01-01-2320-01;7066;01-01-2320-01;2005/12/27 00:00:00.000;USD;0;0.88;0;0.88
01;GL;01;WO;50001-1-01-01-1250-01;7069;01-01-1250-01;2005/12/27 00:00:00.000;USD;8.8;0;8.8;0
01;GL;01;WO;50001-1-01-01-2320-01;7068;01-01-2320-01;2005/12/27 00:00:00.000;USD;0;8.8;0;8.8
01;GL;01;SO;50001-1-01-01-1260-01;7071;01-01-1260-01;2005/12/27 00:00:00.000;USD;266.68;0;266.68;0
01;GL;01;SO;50001-1-01-01-1210-01;7070;01-01-1210-01;2005/12/27 00:00:00.000;USD;0;266.68;0;266.68
01;GL;01;SO;50001-01-01-5000-01;7073;01-01-5000-01;2005/12/27 00:00:00.000;USD;266.68;0;266.68;0
01;GL;01;SO;50001-01-01-1260-01;7072;01-01-1260-01;2005/12/27 00:00:00.000;USD;0;266.68;0;266.68
01;GL;01;IN;60000-01-01-1100-01;7077;01-01-1100-01;2005/12/27 00:00:00.000;USD;1096.5;0;1096.5;0
01;GL;01;IN;60000-01-01-2470-01;7075;01-01-2470-01;2005/12/27 00:00:00.000;USD;0;99;0;99
01;GL;01;IN;60000-01-01-4000-01;7074;01-01-4000-01;2005/12/27 00:00:00.000;USD;0;950;0;950
01;GL;01;CR;C-43221-01-01-1000-01;7079;01-01-1000-01;2005/12/27 00:00:00.000;USD;1096.5;0;1096.5;0
01;GL;01;CR;I-60000-01-01-1100-01;7078;01-01-1100-01;2005/12/27 00:00:00.000;USD;0;1096.5;0;1096.5
01;GL;01;VO;30002-01-01-6000-01;7080;01-01-6000-01;2005/12/27 00:00:00.000;USD;200;0;200;0
01;GL;01;VO;30002-01-01-2000-01;7081;01-01-2000-01;2005/12/27 00:00:00.000;USD;0;200;0;200
01;GL;01;CK;3002-01-01-1000-01;7083;01-01-1000-01;2005/12/27 00:00:00.000;USD;0;200;0;200
01;GL;01;CK;3002-01-01-2000-01;7082;01-01-2000-01;2005/12/27 00:00:00.000;USD;200;0;200;0
01;GL;01;Unspecified;MA-101SCR-01-01-8920-01;7085;01-01-8920-01;2005/12/27 00:00:00.000;USD;5;0;5;0
01;GL;01;Unspecified;MA-101SCR-01-01-1210-01;7084;01-01-1210-01;2005/12/27 00:00:00.000;USD;0;5;0;5
