COMPANY_NK;LEDGER_NK;PROFIT_CENTER_NK;ACCOUNT_NK;BUDGET_NK;BUDGET_DOC_NK;PERIOD_START_DATE_NK;PERIOD_END_DATE_NK;CURRENCY_NK;AMOUNT;AMOUNT_LOCAL
01;GL;01;01-01-5000-01;demomfg;112;2011/01/01;2011-01-31;USD;-280000;-280000
01;GL;01;01-01-4000-01;demomfg;96;2011/01/01;2011-01-31;USD;580000;580000
01;GL;01;01-01-1000-01;demomfg;80;2011/01/01;2011-01-31;USD;880000;880000
01;GL;01;01-01-5000-01;demomfg;113;2011/02/01;2011-02-28;USD;-300000;-300000
01;GL;01;01-01-4000-01;demomfg;97;2011/02/01;2011-02-28;USD;600000;600000
01;GL;01;01-01-1000-01;demomfg;81;2011/02/01;2011-02-28;USD;900000;900000
01;GL;01;01-01-5000-01;demomfg;114;2011/03/01;2011-03-31;USD;-350000;-350000
01;GL;01;01-01-4000-01;demomfg;98;2011/03/01;2011-03-31;USD;650000;650000
01;GL;01;01-01-1000-01;demomfg;82;2011/03/01;2011-03-31;USD;950000;950000
01;GL;01;01-01-5000-01;demomfg;115;2011/04/01;2011-04-30;USD;-380000;-380000
01;GL;01;01-01-4000-01;demomfg;99;2011/04/01;2011-04-30;USD;680000;680000
01;GL;01;01-01-1000-01;demomfg;83;2011/04/01;2011-04-30;USD;980000;980000
01;GL;01;01-01-5000-01;demomfg;116;2011/05/01;2011-05-31;USD;-400000;-400000
01;GL;01;01-01-4000-01;demomfg;100;2011/05/01;2011-05-31;USD;700000;700000
01;GL;01;01-01-1000-01;demomfg;84;2011/05/01;2011-05-31;USD;1000000;1000000
01;GL;01;01-01-5000-01;demomfg;117;2011/06/01;2011-06-30;USD;-450000;-450000
01;GL;01;01-01-4000-01;demomfg;101;2011/06/01;2011-06-30;USD;750000;750000
01;GL;01;01-01-1000-01;demomfg;85;2011/06/01;2011-06-30;USD;1100000;1100000
01;GL;01;01-01-5000-01;demomfg;119;2011/08/01;2011-08-31;USD;-550000;-550000
01;GL;01;01-01-4000-01;demomfg;103;2011/08/01;2011-08-31;USD;850000;850000
01;GL;01;01-01-1000-01;demomfg;87;2011/08/01;2011-08-31;USD;1300000;1300000
01;GL;01;01-01-5000-01;demomfg;120;2011/09/01;2011-09-30;USD;-580000;-580000
01;GL;01;01-01-4000-01;demomfg;104;2011/09/01;2011-09-30;USD;880000;880000
01;GL;01;01-01-1000-01;demomfg;88;2011/09/01;2011-09-30;USD;1300000;1300000
01;GL;01;01-01-5000-01;demomfg;121;2011/10/01;2011-10-31;USD;-600000;-600000
01;GL;01;01-01-4000-01;demomfg;105;2011/10/01;2011-10-31;USD;900000;900000
01;GL;01;01-01-1000-01;demomfg;89;2011/10/01;2011-10-31;USD;1350000;1350000
01;GL;01;01-01-5000-01;demomfg;122;2011/11/01;2011-11-30;USD;-600000;-600000
01;GL;01;01-01-4000-01;demomfg;106;2011/11/01;2011-11-30;USD;910000;910000
01;GL;01;01-01-1000-01;demomfg;90;2011/11/01;2011-11-30;USD;1380000;1380000
01;GL;01;01-01-5000-01;demomfg;123;2011/12/01;2011-12-31;USD;-610000;-610000
01;GL;01;01-01-4000-01;demomfg;107;2011/12/01;2011-12-31;USD;915000;915000
01;GL;01;01-01-1000-01;demomfg;91;2011/12/01;2011-12-31;USD;1400000;1400000
01;GL;01;01-01-5000-01;demomfg;118;2011/07/01;2011-07-31;USD;-500000;-500000
01;GL;01;01-01-4000-01;demomfg;102;2011/07/01;2011-07-31;USD;800000;800000
01;GL;01;01-01-1000-01;demomfg;86;2011/07/01;2011-07-31;USD;1200000;1200000
01;GL;01;01-01-5000-01;demomfg;108;2010/09/01;2010-09-30;USD;-600000;-600000
01;GL;01;01-01-4000-01;demomfg;92;2010/09/01;2010-09-30;USD;800000;800000
01;GL;01;01-01-1000-01;demomfg;76;2010/09/01;2010-09-30;USD;1500000;1500000
01;GL;01;01-01-5000-01;demomfg;109;2010/10/01;2010-10-31;USD;-700000;-700000
01;GL;01;01-01-4000-01;demomfg;93;2010/10/01;2010-10-31;USD;900000;900000
01;GL;01;01-01-1000-01;demomfg;77;2010/10/01;2010-10-31;USD;1600000;1600000
01;GL;01;01-01-5000-01;demomfg;110;2010/11/01;2010-11-30;USD;-750000;-750000
01;GL;01;01-01-4000-01;demomfg;94;2010/11/01;2010-11-30;USD;950000;950000
01;GL;01;01-01-1000-01;demomfg;78;2010/11/01;2010-11-30;USD;1750000;1750000
01;GL;01;01-01-5000-01;demomfg;111;2010/12/01;2010-12-31;USD;-800000;-800000
01;GL;01;01-01-4000-01;demomfg;95;2010/12/01;2010-12-31;USD;980000;980000
01;GL;01;01-01-1000-01;demomfg;79;2010/12/01;2010-12-31;USD;1750000;1750000
01;GL;01;01-01-1000-01;Default;75;2012/11/01;2012-11-30;USD;60;60
