COMPANY_NK;LEDGER;BUDGET_NK;PROFIT_CENTER_NK;ACCOUNT_NK;PERIOD_START_DATE_NK;PERIOD_END_DATE_NK;CURRENCY_NK;DEBIT;CREDIT;BALANCE;DEBIT_LOCAL;CREDIT_LOCAL;BALANCE_LOCAL;BUDGET_AMOUNT;BUDGET_AMOUNT_LOCAL
01;GL;Unspecified;01;01-01-1930-01;2012/01/01;2012/01/31;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-1930-01;2012/02/01;2012/02/29;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-1930-01;2012/03/01;2012/03/31;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-1930-01;2012/04/01;2012/04/30;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-1930-01;2012/05/01;2012/05/31;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-1930-01;2012/06/01;2012/06/30;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-1930-01;2012/07/01;2012/07/31;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-1930-01;2012/08/01;2012/08/31;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-1930-01;2012/09/01;2012/09/30;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-1930-01;2012/10/01;2012/10/31;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-1930-01;2012/11/01;2012/11/30;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-1930-01;2012/12/01;2012/12/31;USD;0;0;0.6;0;0;0.6;0;0
01;GL;Unspecified;01;01-01-8910-01;2008/02/01;2008/02/29;USD;0;0;243.2;0;0;243.2;0;0
01;GL;Unspecified;01;01-01-8910-01;2008/03/01;2008/03/31;USD;0;0;243.2;0;0;243.2;0;0
01;GL;demomfg;01;01-01-1000-01;2011/11/01;2011/11/30;USD;0;0;-4201841.5;0;0;-4201841.5;1380000;1380000
01;GL;Unspecified;01;01-01-4050-01;2007/02/01;2007/02/28;USD;0;47.5;97;0;47.5;97;0;0
01;GL;Unspecified;01;01-01-4050-01;2007/03/01;2007/03/31;USD;0;0;97;0;0;97;0;0
01;GL;Unspecified;01;01-01-4050-01;2007/04/01;2007/04/30;USD;0;462.5;559.5;0;462.5;559.5;0;0
01;GL;Unspecified;01;01-01-4050-01;2007/06/01;2007/06/30;USD;0;0;910.3;0;0;910.3;0;0
01;GL;Unspecified;01;01-01-2470-01;2011/01/01;2011/01/31;USD;0;0;631.4;0;0;631.4;0;0
01;GL;Unspecified;01;01-01-1220-01;2011/05/01;2011/05/31;USD;0;0;-3959.8;0;0;-3959.8;0;0
01;GL;Unspecified;01;01-01-1220-01;2011/06/01;2011/06/30;USD;0;0;-3959.8;0;0;-3959.8;0;0
01;GL;Unspecified;01;01-01-1220-01;2011/07/01;2011/07/31;USD;0;0;-3959.8;0;0;-3959.8;0;0
01;GL;Unspecified;01;01-01-1220-01;2011/08/01;2011/08/31;USD;0;0;-3959.8;0;0;-3959.8;0;0
01;GL;Unspecified;01;01-01-1220-01;2011/09/01;2011/09/30;USD;0;0;-3959.8;0;0;-3959.8;0;0
01;GL;Unspecified;01;01-01-1220-01;2011/10/01;2011/10/31;USD;0;0;-3959.8;0;0;-3959.8;0;0
