ID_Document_NK;ID_Trans_Doc_NK;Line_NK;Issue_Date;Promise_Date;Amount;Amount_Local;Amount_List;Amount_List_Local;Quantity_Order;Cost;Customer;Company;Item;Local_Currency;Division;Business_Unit;Account_Rep;Profit_Center;Ship_City;Ship_Region;Ship_Country;Bill_City;Bill_Region;Bill_Country
40010;60035;60035-547;10/02/2008;10/02/2008; 0.0; 0.0; 0.0; 0.0; 400.0; 40.0;TTOYS;01;TWHEEL1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
40010;60035;60035-548;10/02/2008;10/02/2008; 0.0; 0.0; 0.0; 0.0; 100.0; 25.0;TTOYS;01;CBODY1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
40010;60035;60035-549;10/02/2008;10/02/2008; 0.0; 0.0; 0.0; 0.0; 400.0; 415.48;TTOYS;01;HUB1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
40010;60035;60035-550;10/02/2008;10/02/2008; 0.0; 0.0; 0.0; 0.0; 100.0; 233.0;TTOYS;01;CBUMP;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50185;60036;60036-551;10/02/2008;10/02/2008; 314.9; 314.9; 314.9; 314.9; 10.0; 0.0;XTRM;01;CTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;READING;BERKSHIRE;UNITED KINGDOM;READING;BERKSHIRE;UNITED KINGDOM
50186;60037;60037-553;10/02/2008;10/02/2008; 10880.1; 10880.1; 16500.0; 16500.0; 1100.0; 2824.58;TTOYS;01;WTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;CLEMMONS;NC;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50186;60037;60037-554;10/02/2008;10/02/2008; 9891.0; 9891.0; 9891.0; 9891.0; 1000.0; 2567.8;TTOYS;01;RTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;CLEMMONS;NC;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50186;60037;60037-552;10/02/2008;10/02/2008; 9891.0; 9891.0; 18000.0; 18000.0; 1000.0; 2567.8;TTOYS;01;BTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;CLEMMONS;NC;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50189;60038;60038-555;12/31/2008;12/30/2008; 949.99; 949.99; 949.99; 949.99; 100.0; 451.16;XTRM;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;Unspecified;Unspecified;UNITED STATES;READING;BERKSHIRE;UNITED KINGDOM
50176;60022;60022-522;06/12/2008;06/12/2008; 32.77; 32.77; 32.77; 32.77; 1.0; 0.0;XTRM;01;CTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;Unspecified;Unspecified;UNITED STATES;READING;BERKSHIRE;UNITED KINGDOM
