ID_Document_NK;ID_Trans_Doc_NK;Line_NK;Issue_Date;Promise_Date;Amount;Amount_Local;Amount_List;Amount_List_Local;Quantity_Order;Cost;Customer;Company;Item;Local_Currency;Division;Business_Unit;Account_Rep;Profit_Center;Ship_City;Ship_Region;Ship_Country;Bill_City;Bill_Region;Bill_Country
40010;40010;40010-3.2;10/02/2008;10/02/2008; 0.0; 0.0; 0.0; 0.0; 400.0; 0.1;TTOYS;01;TWHEEL1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
40010;40010;40010-3.3;10/02/2008;10/02/2008; 0.0; 0.0; 0.0; 0.0; 100.0; 0.25;TTOYS;01;CBODY1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
40010;40010;40010-3.4;10/02/2008;10/02/2008; 0.0; 0.0; 0.0; 0.0; 400.0; 1.0387;TTOYS;01;HUB1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
40010;40010;40010-3.5;10/02/2008;10/02/2008; 0.0; 0.0; 0.0; 0.0; 100.0; 2.33;TTOYS;01;CBUMP;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
40010;40010;40010-3;10/02/2008;10/02/2008; 2700.0; 2700.0; 2700.0; 2700.0; 100.0; 0.0;TTOYS;01;KCAR1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50185;50185;50185-1;10/02/2008;10/02/2008; 314.9; 314.9; 314.9; 314.9; 10.0; 0.0;XTRM;01;CTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;READING;BERKSHIRE;UNITED KINGDOM;READING;BERKSHIRE;UNITED KINGDOM
50186;50186;50186-1;10/02/2008;10/02/2008; 10880.1; 10880.1; 16500.0; 16500.0; 1100.0; 2.5678;TTOYS;01;WTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;CLEMMONS;NC;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50186;50186;50186-2;10/02/2008;10/02/2008; 9891.0; 9891.0; 9891.0; 9891.0; 1000.0; 2.5678;TTOYS;01;RTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;CLEMMONS;NC;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50186;50186;50186-3;10/02/2008;10/02/2008; 9891.0; 9891.0; 18000.0; 18000.0; 1000.0; 2.5678;TTOYS;01;BTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;CLEMMONS;NC;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50189;50189;50189-1;12/30/2008;12/30/2008; 949.99; 949.99; 949.99; 949.99; 100.0; 2.5634;XTRM;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;Unspecified;Unspecified;UNITED STATES;READING;BERKSHIRE;UNITED KINGDOM
50176;50176;50176-1;06/12/2008;06/12/2008; 32.77; 32.77; 32.77; 32.77; 1.0; 0.0;XTRM;01;CTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;Unspecified;Unspecified;UNITED STATES;READING;BERKSHIRE;UNITED KINGDOM
40009;40009;40009-1;06/12/2008;06/12/2008; 490.0; 490.0; 490.0; 490.0; 0.5; 0.0;TTOYS;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50167;50167;50167-1;12/14/2007;12/14/2007; 0.0; 0.0; 0.0; 0.0; 10.0; 6.3818;XTRM;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;READING;BERKSHIRE;UNITED KINGDOM;READING;BERKSHIRE;UNITED KINGDOM
50167;50167;50167-2;12/14/2007;12/14/2007; 0.0; 0.0; 0.0; 0.0; 1.0; 6.3818;XTRM;01;RTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;READING;BERKSHIRE;UNITED KINGDOM;READING;BERKSHIRE;UNITED KINGDOM
50166;50166;50166-1;12/14/2007;12/14/2007; 0.0; 0.0; 0.0; 0.0; 10.0; 6.3818;XTRM;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;Unspecified;Unspecified;UNITED STATES;READING;BERKSHIRE;UNITED KINGDOM
50168;50168;50168-1;12/14/2007;12/21/2007; 85.73; 85.73; 85.73; 85.73; 2.0; 6.3818;XTRM;01;STOCKCAR1;USD;Unspecified;Unspecified;1000;Unspecified;Unspecified;Unspecified;UNITED STATES;READING;BERKSHIRE;UNITED KINGDOM
50149;50149;50149-1;01/30/2006;01/30/2006; 950.0; 950.0; 950.0; 950.0; 100.0; 2.4618;TTOYS;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50190;50190;50190-1;12/31/2008;12/31/2008; 213613.55; 213613.55; 213613.55; 213613.55; 5050.0; 8.2982;XTRM;01;STOCKCAR1;USD;Unspecified;Unspecified;1000;Unspecified;Unspecified;Unspecified;UNITED STATES;READING;BERKSHIRE;UNITED KINGDOM
50191;50191;50191-1;01/12/2009;01/12/2009; 10330.56; 10330.56; 10330.56; 10330.56; 1000.0; 2.5678;XTRM;01;BTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;READING;BERKSHIRE;UNITED KINGDOM;READING;BERKSHIRE;UNITED KINGDOM
50191;50191;50191-2;01/12/2009;01/12/2009; 10330.56; 10330.56; 10330.56; 10330.56; 1000.0; 2.5678;XTRM;01;RTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;READING;BERKSHIRE;UNITED KINGDOM;READING;BERKSHIRE;UNITED KINGDOM
50194;50194;50194-2;06/26/2009;06/26/2009; 3099.17; 3099.17; 3099.17; 3099.17; 300.0; 2.5678;XTRM;01;WTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;READING;BERKSHIRE;UNITED KINGDOM;READING;BERKSHIRE;UNITED KINGDOM
50150;50150;50150-1;01/31/2006;01/31/2006; 950.0; 950.0; 950.0; 950.0; 100.0; 2.4618;TTOYS;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50151;50151;50151-1;07/05/2006;07/05/2006; 950.0; 950.0; 950.0; 950.0; 100.0; 2.4618;TTOYS;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50152;50152;50152-1;07/05/2006;07/05/2006; 950.0; 950.0; 950.0; 950.0; 100.0; 2.4618;TTOYS;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50155;50155;50155-1;10/13/2006;10/13/2006; 950.0; 950.0; 950.0; 950.0; 100.0; 6.3818;TTOYS;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50157;50157;50157-1;12/05/2006;12/05/2006; 989.1; 989.1; 989.1; 989.1; 100.0; 6.3818;TTOYS;01;WTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50158;50158;50158-1;12/28/2006;12/28/2006; 950.0; 950.0; 950.0; 950.0; 100.0; 6.3818;TTOYS;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50159;50159;50159-1;01/08/2007;01/08/2007; 989.1; 989.1; 989.1; 989.1; 100.0; 6.3818;TTOYS;01;WTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50162;50162;50162-1;04/05/2007;04/05/2007; 9250.0; 9250.0; 9250.0; 9250.0; 1000.0; 6.3818;TTOYS;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50160;50160;50160-1;01/10/2007;01/10/2007; 952.56; 952.56; 952.56; 952.56; 100.0; 6.3818;XTRM;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;Unspecified;Unspecified;UNITED STATES;READING;BERKSHIRE;UNITED KINGDOM
50161;50161;50161-1;02/20/2007;02/20/2007; 950.0; 950.0; 950.0; 950.0; 100.0; 6.3818;TTOYS;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50163;50163;50163-3;05/26/2007;05/26/2007; 989.1; 989.1; 989.1; 989.1; 100.0; 6.3818;TTOYS;01;WTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50163;50163;50163-4;05/26/2007;05/26/2007; 989.1; 989.1; 989.1; 989.1; 100.0; 6.3818;TTOYS;01;RTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50163;50163;50163-2;05/26/2007;05/26/2007; 989.1; 989.1; 989.1; 989.1; 100.0; 6.3818;TTOYS;01;BTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50163;50163;50163-1;05/26/2007;05/26/2007; 4050.0; 4050.0; 4050.0; 4050.0; 100.0; 6.3818;TTOYS;01;STOCKCAR1;USD;Unspecified;Unspecified;1000;Unspecified;ALEXANDRIA;VA;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
50164;50164;50164-1;05/30/2007;05/30/2007; 950.0; 950.0; 950.0; 950.0; 100.0; 6.3818;TTOYS;01;YTRUCK1;USD;Unspecified;Unspecified;1000;Unspecified;CLEMMONS;NC;UNITED STATES;WALNUT HILLS;VA;UNITED STATES
